"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Address_Part__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Autocomplete_Attribute_Value__c"
"a3TDR000000hjs72AA","0058c00000BxeO9AAJ","false","FC-006574","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","2025-10-01T10:34:03.000Z","2025-10-01T10:34:03.000Z","Legal Business Name","","","","Name","","false","","","false","false","false","","a2EDR000003VV8u2AG","","","","false","","a3THo000000zAuyMAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjs82AA","0058c00000BxeO9AAJ","false","FC-006575","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","Tax Identification Number (TIN)","","","XX-XXXXXXX","LLC_BI__Tax_Identification_Number__c","","false","","","false","false","false","","a2EDR000003VV8u2AG","1.0","","As a federally regulated bank, we are required to know our customers. We use your TIN to pull your credit bureau data, which allows us to process your application.","true","Why do we need this?","a3THo000000zAuzMAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjs92AA","0058c00000BxeO9AAJ","false","FC-006576","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","What industry does your business belong to?","","","","Industry","","false","","","false","false","false","","a2EDR000003VV8u2AG","","","","false","","a3THo000000zAv0MAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjsA2AQ","0058c00000BxeO9AAJ","false","FC-006577","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","Number of employees","","","","NumberOfEmployees","","false","","","false","false","false","","a2EDR000003VV8u2AG","","","","false","","a3THo000000zAv1MAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjsB2AQ","0058c00000BxeO9AAJ","false","FC-006578","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","Legal Entity Type","","","","Type","","false","","","false","false","false","","a2EDR000003VV8u2AG","","","","false","","a3THo000000zAv2MAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjsC2AQ","0058c00000BxeO9AAJ","false","FC-006579","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","Shipping Address","","","","ShippingStreet","","false","","","false","false","false","","a2EDR000003VV8u2AG","","","","false","","a3THo000000zAv3MAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjsD2AQ","0058c00000BxeO9AAJ","false","FC-006580","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","City","","","","ShippingCity","","false","","","false","false","false","","a2EDR000003VV8u2AG","","","","false","","a3THo000000zAv4MAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjsE2AQ","0058c00000BxeO9AAJ","false","FC-006581","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","State","","","","ShippingState","","false","","","false","false","false","","a2EDR000003VV8u2AG","2.0","","","false","","a3THo000000zAv5MAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjsF2AQ","0058c00000BxeO9AAJ","false","FC-006582","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","ZIP","","","","ShippingPostalCode","","false","","","false","false","false","","a2EDR000003VV8u2AG","2.0","","","false","","a3THo000000zAv6MAE","Account","false","","false","false","","","false","false","false","",""
"a3TDR000000hjsG2AQ","0058c00000BxeO9AAJ","false","FC-006583","2024-08-26T17:25:14.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","0058c00000BxeO9AAJ","2025-10-01T18:35:37.000Z","","","Billing Address","","","","BillingStreet","","false","","","false","false","false","","a2EDR000003VV8u2AG","","","","false","","a3THo000000zAv7MAE","Account","false","","false","false","","","false","false","false","",""
