"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2HDR000003iU7N2AU","false","SC-000132277","2024-08-26T17:24:54.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkuV2AS","2.01","LLC_BI__UI_Loan_Products","","a2HDR000003iVJO2A2","LLC_BI__Legal_Entities__r","","42679535700689311","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDR000003iU7O2AU","false","SC-000132278","2024-08-26T17:24:54.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkuY2AS","2.01","LLC_BI__UI_Risk_Rating","","a2HDR000003iVJR2A2","LLC_BI__Risk_Rating_Review__r","Risk Rating","42581155732352900","LLC_BI__Annual_Review__c","","","false","","false"
"a2HDR000003iU7P2AU","false","SC-000132279","2024-08-26T17:24:54.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkuZ2AS","2.0","LLC_BI__UI_Memo_Action","","a2HDR000003iVJS2A2","LLC_BI__Change_Memos__r","Change Memo","42416835639893134","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false"
"a2HDR000003iU7Q2AU","false","SC-000132280","2024-08-26T17:24:54.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkub2AC","2.01","LLC_BI__UI_Loan_Team_Members","","a2HDR000003iVJU2A2","LLC_BI__Loan_Teams__r","Team Members","42085301228340363","LLC_BI__LoanTeam__c","","","false","","false"
"a2HDR000003iUB22AM","false","SC-000132504","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkje2AC","2.02","LLC_BI__Manage_Fees_List_Enhanced","a2CDR0000020ul92AA","a2HDR000003iVP12AM","LLC_BI__Fees__r","","42535968074535277","LLC_BI__Fee__c","LLC_BI__Status__c != Inactive","0.0","false","","false"
"a2HDR000003iUB32AM","false","SC-000132505","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkji2AC","2.02","LLC_BI__Manage_Fees_List_Enhanced","","a2HDR000003iVQg2AM","LLC_BI__Fees__r","","39841619447516045","LLC_BI__Fee__c","LLC_BI__Status__c != Inactive","","false","","false"
"a2HDR000003iUB42AM","false","SC-000132506","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkjj2AC","2.02","LLC_BI__Manage_Fees_List_Enhanced","","a2HDR000003iVRO2A2","LLC_BI__Fees__r","","25811620937672786","LLC_BI__Fee__c","","","false","","false"
"a2HDR000003iUB52AM","false","SC-000132507","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkmz2AC","2.02","","a2CDR0000020ulA2AQ","a2HDR000003iVKb2AM","LLC_BI__Loan_Facilities__r","","42620687442222393","LLC_BI__Loan__c","","0.0","false","","false"
"a2HDR000003iUB62AM","false","SC-000132508","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkmz2AC","2.0","LLC_BI__Syndication_Summary","","a2HDR000003iVKb2AM","LLC_BI__Participations__r","participation records","42161375412178302","LLC_BI__Participation__c","","","false","","false"
"a2HDR000003iUB72AM","false","SC-000132509","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkn02AC","2.01","LLC_BI__Counterparty_Report","a2CDR0000020ulE2AQ","a2HDR000003iVKc2AM","LLC_BI__Participations__r","","42845232116596240","LLC_BI__Participation__c","","","false","","false"
"a2HDR000003iUB82AM","false","SC-000132510","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkn22AC","2.01","llc_bi__UI_TSM_Authorized_User_Search","","a2HDR000003iVKe2AM","LLC_BI__Authorized_Users__r","Authorized Users","42002235136431324","LLC_BI__Authorized_User__c","","","false","","false"
"a2HDR000003iUB92AM","false","SC-000132511","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004Gkn32AC","2.01","llc_bi__UI_TSM_Analyzed_Account_Search","","a2HDR000003iVKf2AM","LLC_BI__Analyzed_Accounts__r","Analyzed Accounts","42602527793838157","LLC_BI__Analyzed_Account__c","","","false","","false"
"a2HDR000003iUBA2A2","false","SC-000132512","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkYq2AK","2.02","","a2CDR0000020ulG2AQ","a2HDR000003iVKw2AM","LLC_BI__Legal_Entities__r","","42816987316414085","LLC_BI__Legal_Entities__c","","0.0","false","","false"
"a2HDR000003iUBB2A2","false","SC-000132513","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkwL2AS","2.02","UI_Participations","a2CDR0000020ulJ2AQ","a2HDR000003iVKx2AM","LLC_BI__Participations__r","","42599601819515454","LLC_BI__Participation__c","","0.0","false","","false"
"a2HDR000003iUBO2A2","false","SC-000132526","2024-08-26T17:24:56.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkkF2AS","200.0","nFORCE__UI_Config_Builder","","a2HDR000003iVLB2A2","nFORCE__Screen_Sections__r","","42263859019003569","nFORCE__Screen_Section__c","","","false","","false"
"a2HDR000003iUBP2A2","false","SC-000132527","2024-08-26T17:24:57.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkkP2AS","2.01","LLC_BI__UI_Entity_Involvement_Fieldset","","a2HDR000003iVLL2A2","LLC_BI__Legal_Entities__r","Borrowing Structure","42682732015979193","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDR000003iUBQ2A2","false","SC-000132528","2024-08-26T17:24:57.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkkU2AS","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2HDR000003iVLQ2A2","LLC_BI__Legal_Entities__r","HMDA","42916520714700074","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDR000003iUBR2A2","false","SC-000132529","2024-08-26T17:24:57.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkkV2AS","2.01","LLC_BI__HMDA_Entity_Relationship_Name","","a2HDR000003iVLR2A2","LLC_BI__Legal_Entities__r","Relationship","42305638747147846","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDR000003iUBS2A2","false","SC-000132530","2024-08-26T17:24:57.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkkW2AS","2.01","LLC_BI__UI_HMDA_Loan_Compliance_2017","","a2HDR000003iVLS2A2","LLC_BI__Loan_Compliances__r","Loan Compliance","42273647962742864","LLC_BI__Loan_Compliance__c","","","false","","false"
"a2HDR000003iUBT2A2","false","SC-000132531","2024-08-26T17:24:57.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkkX2AS","2.01","LLC_BI__HMDA_Entity_Relationship_Name","","a2HDR000003iVLT2A2","LLC_BI__Legal_Entities__r","Relationship","42595756380172653","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDR000003iUBU2A2","false","SC-000132532","2024-08-26T17:24:57.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","0058c00000BxeO9AAJ","2025-10-01T18:34:55.000Z","a2FDR000004GkkY2AS","2.01","LLC_BI__UI_HMDA_Loan_Compliance_2018","","a2HDR000003iVLU2A2","LLC_BI__Loan_Compliances__r","Loan Compliance","42506178376721713","LLC_BI__Loan_Compliance__c","","","false","","false"
